# pT	yLOcentral	yLOminus	yLOplus	yPDFLOminus	yPDFLOplus	yNLOcentral	yNLOminus	yNLOplus	yPDFNLOminus	yPDFNLOplus
4.000000e+00	1.035844e-02	4.219832e-03	2.566777e-02	9.995093e-03	1.080284e-02	2.174810e-02	1.303571e-02	4.261024e-02	2.105489e-02	2.256144e-02
4.900000e+00	3.705377e-03	1.901925e-03	8.416149e-03	3.584957e-03	3.847783e-03	7.110888e-03	4.536163e-03	1.221505e-02	6.897801e-03	7.353758e-03
6.000000e+00	1.277062e-03	7.175378e-04	2.735431e-03	1.238227e-03	1.321256e-03	2.275953e-03	1.522672e-03	3.541829e-03	2.211730e-03	2.346836e-03
7.400000e+00	4.097682e-04	2.369437e-04	8.222668e-04	3.980411e-04	4.225314e-04	6.851230e-04	4.773654e-04	9.969651e-04	6.667937e-04	7.046782e-04
9.100000e+00	1.296053e-04	7.684753e-05	2.471538e-04	1.260861e-04	1.332599e-04	2.052343e-04	1.480874e-04	2.833415e-04	2.000182e-04	2.106181e-04
1.120000e+01	4.003602e-05	2.406064e-05	7.307137e-05	3.899632e-05	4.106651e-05	6.046760e-05	4.462324e-05	7.909116e-05	5.899931e-05	6.191112e-05
1.380000e+01	1.186586e-05	7.272608e-06	2.098767e-05	1.156953e-05	1.214750e-05	1.724999e-05	1.305471e-05	2.160752e-05	1.684942e-05	1.763389e-05
1.690000e+01	3.554111e-06	2.216647e-06	6.119082e-06	3.468206e-06	3.632702e-06	5.013593e-06	3.875060e-06	6.038830e-06	4.901765e-06	5.119580e-06
2.080000e+01	1.007609e-06	6.392352e-07	1.709366e-06	9.840421e-07	1.028877e-06	1.387904e-06	1.092563e-06	1.629712e-06	1.358212e-06	1.415424e-06
2.550000e+01	2.855058e-07	1.832604e-07	4.739510e-07	2.790259e-07	2.913028e-07	3.864342e-07	3.088965e-07	4.412513e-07	3.784936e-07	3.937454e-07
3.140000e+01	7.678086e-08	4.900097e-08	1.261009e-07	7.507372e-08	7.827972e-08	1.026679e-07	8.298111e-08	1.147822e-07	1.006360e-07	1.045345e-07
3.850000e+01	2.069899e-08	1.316628e-08	3.419962e-08	2.024855e-08	2.108819e-08	2.748365e-08	2.227508e-08	3.051214e-08	2.695192e-08	2.795379e-08
4.730000e+01	5.376114e-09	3.413784e-09	8.904169e-09	5.260323e-09	5.470054e-09	7.115235e-09	5.775781e-09	7.876074e-09	6.981120e-09	7.230008e-09
5.810000e+01	1.362773e-09	8.654744e-10	2.258060e-09	1.335043e-09	1.385666e-09	1.805463e-09	1.466655e-09	1.996162e-09	1.772544e-09	1.832731e-09
7.140000e+01	3.356080e-10	2.133520e-10	5.547998e-10	3.292088e-10	3.410423e-10	4.462533e-10	3.625264e-10	4.937415e-10	4.385826e-10	4.528342e-10
8.780000e+01	8.010202e-11	5.102894e-11	1.318891e-10	7.866661e-11	8.139421e-11	1.072276e-10	8.705324e-11	1.189701e-10	1.054811e-10	1.088259e-10
1.078000e+02	1.878723e-11	1.201510e-11	3.078933e-11	1.843024e-11	1.909197e-11	2.536813e-11	2.061729e-11	2.825924e-11	2.492460e-11	2.575409e-11
1.325000e+02	4.237219e-12	2.715308e-12	6.914980e-12	4.141405e-12	4.310247e-12	5.781163e-12	4.691362e-12	6.479198e-12	5.660298e-12	5.875263e-12
1.628000e+02	9.237801e-13	5.913489e-13	1.503740e-12	8.977297e-13	9.427330e-13	1.275916e-12	1.030281e-12	1.441286e-12	1.242346e-12	1.300327e-12
2.000000e+02	1.936435e-13	1.228629e-13	3.141666e-13	1.867377e-13	1.986846e-13	2.713959e-13	2.162341e-13	3.082073e-13	2.623481e-13	2.780153e-13
